id_partida,rodada,data_utc,status,mandante,visitante,gols_mandante,gols_visitante,vencedor
554740,1,2026-01-28T22:00:00Z,FINISHED,CA Mineiro,SE Palmeiras,2,2,DRAW
554744,1,2026-01-28T22:00:00Z,FINISHED,Coritiba FBC,RB Bragantino,0,1,AWAY_TEAM
554746,1,2026-01-28T22:00:00Z,FINISHED,SC Internacional,CA Paranaense,0,1,AWAY_TEAM
554749,1,2026-01-28T22:00:00Z,FINISHED,EC Vitória,Clube do Remo,2,0,HOME_TEAM
554745,1,2026-01-28T22:30:00Z,FINISHED,Fluminense FC,Grêmio FBPA,2,1,HOME_TEAM
554742,1,2026-01-28T23:00:00Z,FINISHED,Chapecoense AF,Santos FC,4,2,HOME_TEAM
554743,1,2026-01-28T23:00:00Z,FINISHED,SC Corinthians Paulista,EC Bahia,1,2,AWAY_TEAM
554748,1,2026-01-29T00:30:00Z,FINISHED,São Paulo FC,CR Flamengo,2,1,HOME_TEAM
554747,1,2026-01-29T23:00:00Z,FINISHED,Mirassol FC,CR Vasco da Gama,2,1,HOME_TEAM
554741,1,2026-01-30T00:30:00Z,FINISHED,Botafogo FR,Cruzeiro EC,4,0,HOME_TEAM
554752,2,2026-02-04T22:00:00Z,FINISHED,RB Bragantino,CA Mineiro,1,0,HOME_TEAM
554754,2,2026-02-04T22:00:00Z,FINISHED,CR Flamengo,SC Internacional,1,1,DRAW
554757,2,2026-02-04T23:00:00Z,FINISHED,Clube do Remo,Mirassol FC,2,2,DRAW
554758,2,2026-02-04T23:00:00Z,FINISHED,Santos FC,São Paulo FC,1,1,DRAW
554755,2,2026-02-05T00:30:00Z,FINISHED,Grêmio FBPA,Botafogo FR,5,3,HOME_TEAM
554756,2,2026-02-05T00:30:00Z,FINISHED,SE Palmeiras,EC Vitória,5,1,HOME_TEAM
554751,2,2026-02-05T22:00:00Z,FINISHED,EC Bahia,Fluminense FC,1,1,DRAW
554759,2,2026-02-05T23:00:00Z,FINISHED,CR Vasco da Gama,Chapecoense AF,1,1,DRAW
554753,2,2026-02-06T00:30:00Z,FINISHED,Cruzeiro EC,Coritiba FBC,1,2,AWAY_TEAM
554769,3,2026-02-11T00:30:00Z,FINISHED,EC Vitória,CR Flamengo,1,2,AWAY_TEAM
554762,3,2026-02-11T22:00:00Z,FINISHED,Chapecoense AF,Coritiba FBC,3,3,DRAW
554766,3,2026-02-11T22:00:00Z,FINISHED,Mirassol FC,Cruzeiro EC,2,2,DRAW
554761,3,2026-02-11T23:00:00Z,FINISHED,CA Mineiro,Clube do Remo,3,3,DRAW
554767,3,2026-02-12T00:30:00Z,FINISHED,São Paulo FC,Grêmio FBPA,2,0,HOME_TEAM
