posicao,time,pontos,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols
1,CR Flamengo,57,27,17,6,4,53,22,31
2,SE Palmeiras,56,27,16,8,3,47,21,26
3,CA Paranaense,46,27,13,7,7,41,31,10
4,Fluminense FC,45,27,12,9,6,41,35,6
5,EC Bahia,43,26,11,10,5,40,32,8
6,Cruzeiro EC,42,27,12,6,9,39,39,0
7,CA Mineiro,39,26,11,6,9,35,31,4
8,Coritiba FBC,38,27,10,8,9,37,38,-1
9,RB Bragantino,36,26,10,6,10,32,29,3
10,Santos FC,35,26,9,8,9,39,39,0
11,São Paulo FC,33,26,9,6,11,31,30,1
12,EC Vitória,33,27,9,6,12,27,39,-12
13,SC Corinthians Paulista,32,27,8,8,11,28,29,-1
14,Botafogo FR,32,26,8,8,10,38,41,-3
15,Mirassol FC,29,27,7,8,12,31,42,-11
16,Grêmio FBPA,28,26,7,7,12,28,35,-7
17,CR Vasco da Gama,28,26,7,7,12,29,41,-12
18,SC Internacional,28,27,6,10,11,30,35,-5
19,Clube do Remo,23,26,5,8,13,30,43,-13
20,Chapecoense AF,17,26,3,8,15,28,52,-24
